task,setting,model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc,training_s,inference_s,latency_ms_per_msg,test_records
binary,raw_edge_cloud,LogisticRegression,0.8463881989151923,0.7263426035077765,0.7811392707487161,0.7263426035077765,0.7474163971022463,0.838132066344636,0.5045147945879964,1.8242615000344813,0.24979919998440892,0.0012662807319126523,197270
binary,raw_edge_cloud,RandomForest,0.8756475895980129,0.7348844647999148,0.8732953981713251,0.7348844647999148,0.7759975661134779,0.8617189285157092,0.5922205326117722,15.801818700041622,0.5942309999954887,0.0030122725198737195,197270
binary,raw_edge_cloud,ExtraTrees,0.8489937648907588,0.7274952964839734,0.7871998426753092,0.7274952964839734,0.7500533321863769,0.8402799279662002,0.5112205526368047,5.146633199998178,0.7698400000226684,0.003902468697838842,197270
binary,raw_edge_cloud,HistGradientBoosting,0.6867592639529578,0.7215369988836311,0.6512844846517792,0.7215369988836311,0.6420640599444885,0.7146340576563278,0.3661426536606294,18.35679789999267,1.2055754999746569,0.006111296699825909,197270
binary,raw_edge_cloud,MLP,0.6930856186951894,0.6683337090846702,0.6224844751788994,0.6683337090846702,0.6248055085526926,0.7166386258525365,0.28718123902618264,117.38120309996884,0.2998075000359677,0.001519782531738063,197270
binary,raw_edge_cloud,XGBoost,0.7527905915749987,0.7282626131885701,0.6741410560318242,0.7282626131885701,0.6862247125284919,0.7691446941927905,0.39874750162598577,5.678612100018654,0.3321426999755204,0.0016836959495894986,197270
binary,enhanced_temporal_trust_graph,LogisticRegression,0.9756222436254879,0.9596832864016929,0.9671731813780136,0.9596832864016929,0.9633666883610481,0.9755237489218701,0.9268262044948437,3.8131076999707147,0.39146219997201115,0.001984398033010651,197270
binary,enhanced_temporal_trust_graph,RandomForest,0.990348253662493,0.9806169988376809,0.9905168448122305,0.9806169988376809,0.985465852451596,0.9902990607031893,0.9710833822756574,12.62679070001468,0.760587900003884,0.0038555680032639726,197270
binary,enhanced_temporal_trust_graph,ExtraTrees,0.9872509758199423,0.9783540824890262,0.9834881038425516,0.9783540824890262,0.9808933809437567,0.9872169510971596,0.961828484310925,5.435302999976557,0.8635749000241049,0.004377629137852207,197270
binary,enhanced_temporal_trust_graph,HistGradientBoosting,0.9910123181426471,0.9824177295421948,0.9907000991694745,0.9824177295421948,0.986488178012719,0.9909740716820965,0.9730825817523766,13.713427200040314,0.9851031999569386,0.0049936797280728884,197270
binary,enhanced_temporal_trust_graph,MLP,0.9582653216403914,0.9045770577825376,0.9714352551619703,0.9045770577825376,0.9331977746506439,0.9566765465984405,0.8734572421553096,179.1032678000047,0.33734030002960935,0.0017100435952228385,197270
