,precision,recall,f1-score,support
0,0.9212801039272509,0.7382634982282636,0.8196801475899932,49951.0
1,0.5747733366079286,0.5622309863666393,0.5684329838481156,49951.0
2,0.5450020660380902,0.5809092911052832,0.5623831073813146,49951.0
3,0.6352128257676055,0.7386591306915241,0.6830414602753617,47417.0
accuracy,0.6539412987276322,0.6539412987276322,0.6539412987276322,0.6539412987276322
macro avg,0.6690670830852188,0.6550157265979275,0.6583844247736963,197270.0
weighted avg,0.669501952492847,0.6539412987276322,0.6580676967970084,197270.0
