,precision,recall,f1-score,support
0,0.9808494198632193,0.9895314603773828,0.9851713123901638,155227.0
1,0.9600432762054636,0.9286682682016031,0.9440951736144695,42043.0
accuracy,0.9765600446089117,0.9765600446089117,0.9765600446089117,0.9765600446089117
macro avg,0.9704463480343415,0.959099864289493,0.9646332430023166,197270.0
weighted avg,0.9764151282942882,0.9765600446089117,0.9764169954512145,197270.0
