,precision,recall,f1-score,support
0,0.9955491399013593,0.33136473744269385,0.4972287726992805,49951.0
1,0.9169245417757677,0.15423114652359313,0.26404812091923296,49951.0
2,0.4482550072930378,0.25224720225821307,0.3228285933897002,49951.0
3,0.3250678193057801,0.9881055317713057,0.4891986426520491,47417.0
accuracy,0.42433720281847215,0.42433720281847215,0.42433720281847215,0.42433720281847215
macro avg,0.6714491270689862,0.4314871544989514,0.3933260324150657,197270.0
weighted avg,0.6758985123473963,0.42433720281847215,0.3920945162476782,197270.0
