,precision,recall,f1-score,support
0,0.9816643611025719,0.9874635211657766,0.9845554017554621,155227.0
1,0.9526820016534553,0.9319030516376091,0.9421779749666342,42043.0
accuracy,0.9756222436254879,0.9756222436254879,0.9756222436254879,0.9756222436254879
macro avg,0.9671731813780136,0.9596832864016929,0.9633666883610481,197270.0
weighted avg,0.9754875205372593,0.9756222436254879,0.9755237489218701,197270.0
