,precision,recall,f1-score,support
0,0.48278628315162764,1.0,0.6511879542417626,49951.0
1,0.4144380275433141,0.18676302776721188,0.25749023612702004,49951.0
2,0.36775218427323275,0.018538167404055974,0.03529703253349597,49951.0
3,0.35037366599784814,0.5082143535019086,0.41478548990920433,47417.0
accuracy,0.4273533735489431,0.4273533735489431,0.4273533735489431,0.4273533735489431
macro avg,0.40383754024150564,0.4283788871682941,0.33969017820287073,197270.0
weighted avg,0.40452430182377064,0.4273533735489431,0.3387255534760301,197270.0
