drift_step,drift_strength,accuracy,macro_f1,consensus_disagreement,weight_edge_agent,weight_temporal_agent,weight_trust_agent,weight_graph_agent,weight_cloud_agent,weight_ml_fusion_agent
0,0.0,0.9845086986495802,0.9818977579376811,0.18287721698178677,0.13123766431124548,0.1401037740263391,0.18123656153288395,0.17865612815773937,0.1477909743885085,0.22097489758328367
1,0.14285714285714285,0.9852792084026116,0.971716014116119,0.13585712230498187,0.1418251119031958,0.15092015274311457,0.17150392813946044,0.16520834584619237,0.1546440353997482,0.21589842596828868
2,0.2857142857142857,0.9857252929964718,0.9712974454314809,0.15505973126311962,0.15140859230914822,0.15978108501132984,0.15818008097555036,0.15188844091460219,0.16231789306606534,0.21642390772330394
3,0.42857142857142855,0.9853603146924044,0.9692144246464297,0.18751579743584584,0.1586571914467808,0.16799304603033255,0.1435534300999127,0.13920731777639736,0.1690091540482463,0.22157986059833032
4,0.5714285714285714,0.9758303256417535,0.9520858836102205,0.2304190859841372,0.1660014306663405,0.17612395839209263,0.12685915966478864,0.1258038634155273,0.17633693489178245,0.22887465296946854
5,0.7142857142857143,0.9684091001257148,0.9386786643664112,0.2717006819005672,0.17333443883903243,0.18372590154365262,0.10924058056176955,0.11232946968579066,0.1836939671935815,0.23767564217617326
6,0.8571428571428571,0.9658123124340985,0.9284977869744455,0.3235063915699949,0.18242228430967292,0.19278058739134626,0.08812080438979032,0.09629947525754351,0.1928538225479665,0.2475230261036804
7,1.0,0.9620812717981994,0.9616019393826698,0.3825463020925168,0.16884124325389885,0.1664459693254857,0.11753921860902315,0.08319720558499481,0.1876923076387718,0.27628405558782565
