,precision,recall,f1-score,support
0,0.8791986126323476,0.7713559288102341,0.8217541988802985,49951.0
1,0.41278164261239747,0.15917599247262318,0.22975452588386575,49951.0
2,0.31585763343227985,0.4345658745570659,0.36582262481567307,49951.0
3,0.31875954781545984,0.44005314549634095,0.36971216456851264,47417.0
accuracy,0.4514320474476606,0.4514320474476606,0.4514320474476606,0.4514320474476606
macro avg,0.4816493591231212,0.451287735334066,0.4467608785370875,197270.0
weighted avg,0.4837417339487592,0.4514320474476606,0.4477505953779471,197270.0
