,precision,recall,f1-score,support
0,0.9992198439687937,1.0,0.9996097697641608,49951.0
1,0.40417756925020304,0.1793557686532802,0.24845736788829265,49951.0
2,0.3853514906146485,0.06288162399151168,0.10812020240267116,49951.0
3,0.35135042705812947,0.8666722905287133,0.5,47417.0
accuracy,0.5228671364120241,0.5228671364120241,0.5228671364120241,0.5228671364120241
macro avg,0.5350248327229437,0.5272274207933764,0.46404683501378113,197270.0
weighted avg,0.5373841927064923,0.5228671364120241,0.46358500442588096,197270.0
