,precision,recall,f1-score,support
0,0.9512174158614,0.9981510948481901,0.9741192595084137,155227.0
1,0.9916530944625407,0.8110030207168851,0.8922762897928742,42043.0
accuracy,0.9582653216403914,0.9582653216403914,0.9582653216403914,0.9582653216403914
macro avg,0.9714352551619703,0.9045770577825376,0.9331977746506439,197270.0
weighted avg,0.9598352352735141,0.9582653216403914,0.9566765465984405,197270.0
