,precision,recall,f1-score,support
0,0.8773500555797207,0.9355717755287418,0.9055260245358607,155227.0
1,0.6849284859177116,0.5171134314868111,0.5893067696686318,42043.0
accuracy,0.8463881989151923,0.8463881989151923,0.8463881989151923,0.8463881989151923
macro avg,0.7811392707487161,0.7263426035077765,0.7474163971022463,197270.0
weighted avg,0.8363403731480288,0.8463881989151923,0.838132066344636,197270.0
