,precision,recall,f1-score,support
0,0.9999799807815503,1.0,0.9999899902905819,49951.0
1,0.9407112407448956,0.6714980681067446,0.7836275070963823,49951.0
2,0.6498887457547722,0.5554843746871935,0.5989897027394598,49951.0
3,0.6420461960067858,0.9338422928485565,0.7609293373659609,47417.0
accuracy,0.7883611294165357,0.7883611294165357,0.7883611294165357,0.7883611294165357
macro avg,0.8081565408220008,0.7902061839106236,0.7858841343730962,197270.0
weighted avg,0.8102902844919039,0.7883611294165357,0.7862046871972259,197270.0
