,precision,recall,f1-score,support
0,0.9998999119224918,1.0,0.9999499534567148,49951.0
1,0.8996105372650524,0.7445096194270385,0.8147442217110308,49951.0
2,0.6594667765287505,0.672959500310304,0.6661448218461417,49951.0
3,0.7431911566852114,0.8620747833055655,0.7982307970200841,47417.0
accuracy,0.8193440462310538,0.8193440462310538,0.8193440462310538,0.8193440462310538
macro avg,0.8255420956003766,0.819885975760727,0.8197674485084927,197270.0
weighted avg,0.8265999213174702,0.8193440462310538,0.8200440940951083,197270.0
