,precision,recall,f1-score,support
0,0.99376723698063,0.9912064267170015,0.992485180000903,155227.0
1,0.9678392196593077,0.9770473087077516,0.9724214662784366,42043.0
accuracy,0.9881887768033659,0.9881887768033659,0.9881887768033659,0.9881887768033659
macro avg,0.9808032283199688,0.9841268677123766,0.9824533231396698,197270.0
weighted avg,0.9882413504685382,0.9881887768033659,0.9882091181768361,197270.0
