,precision,recall,f1-score,support
0,0.9983411280329376,1.0,0.9991698754813222,49951.0
1,0.40182446080667233,0.6172849392404557,0.486778333833257,49951.0
2,0.38876962297061585,0.3480410802586535,0.36727967972620396,49951.0
3,0.9118411356320056,0.4958137376890145,0.6423497267759563,47417.0
accuracy,0.6168195873675673,0.6168195873675673,0.6168195873675673,0.6168195873675673
macro avg,0.6751940868605578,0.615284939297031,0.6238944039541848,197270.0
weighted avg,0.6721542753251655,0.6168195873675673,0.6236573390784796,197270.0
