,precision,recall,f1-score,support
0,0.8763895448628598,0.9802225128360401,0.9254025452720887,155227.0
1,0.8702012514797903,0.48954641676378946,0.6265925869548672,42043.0
accuracy,0.8756475895980129,0.8756475895980129,0.8756475895980129,0.8756475895980129
macro avg,0.8732953981713251,0.7348844647999148,0.7759975661134779,197270.0
weighted avg,0.8750706701292239,0.8756475895980129,0.8617189285157092,197270.0
