,precision,recall,f1-score,support
0,0.9943663654098818,1.0,0.9971752258322104,49951.0
1,0.34687713869134407,0.4667574222738283,0.3979857465966799,49951.0
2,0.33933723878639505,0.23308842665812496,0.2763523296385085,49951.0
3,0.3695590077124212,0.3547040091106565,0.3619791666666667,47417.0
accuracy,0.5156790186039438,0.5156790186039438,0.5156790186039438,0.5156790186039438
macro avg,0.5125349376500106,0.5136374645106524,0.5083731171835163,197270.0
weighted avg,0.5143715119211204,0.5156790186039438,0.5102535970872508,197270.0
