,precision,recall,f1-score,support
0,1.0,1.0,1.0,49951.0
1,0.9175704439489155,0.7249304318231867,0.8099535872057261,49951.0
2,0.6418742270300735,0.8208244079197614,0.7204027128650244,49951.0
3,0.841307017144936,0.7802897694919544,0.8096504185130478,47417.0
accuracy,0.8321691083286866,0.8321691083286866,0.8321691083286866,0.8321691083286866
macro avg,0.8501879220309813,0.8315111523087256,0.8350016796459495,197270.0
weighted avg,0.850302000263765,0.8321691083286866,0.8353273251861268,197270.0
