,precision,recall,f1-score,support
0,0.9926042267241894,0.9995195291385558,0.9960498753117207,49951.0
1,0.8825236895765863,0.7364817521170748,0.8029158845868436,49951.0
2,0.6536899787116612,0.6639106324197713,0.6587606646603696,49951.0
3,0.7372328335227482,0.8481979037054221,0.7888321189357759,47417.0
accuracy,0.8115628326658894,0.8115628326658894,0.8115628326658894,0.8115628326658894
macro avg,0.8165126821337962,0.812027454345206,0.8116396358736775,197270.0
weighted avg,0.8175310586552156,0.8115628326658894,0.811932606157657,197270.0
