,precision,recall,f1-score,support
0,0.6534685863874345,0.999479489900102,0.7902588820033083,49951.0
1,0.4469168026101142,0.13711437208464294,0.20984741712114713,49951.0
2,0.3970831952270467,0.04796700766751416,0.08559435563097258,49951.0
3,0.34991106510838,0.7343357867431511,0.4739736469563324,47417.0
accuracy,0.4764535915243068,0.4764535915243068,0.4764535915243068,0.4764535915243068
macro avg,0.4618449123332439,0.47972416409885255,0.38991857542794006,197270.0
weighted avg,0.46328274053250273,0.4764535915243068,0.38883885954994063,197270.0
