task,setting,model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc,training_s,inference_s,latency_ms_per_msg,test_records,sample_size
binary,N=10000,ARES-MetaFusion,0.9887,0.9888554007774899,0.9884751963437715,0.9888554007774899,0.9886556862745097,0.9887021979607842,0.9773305231670552,0,0.48644599999533966,0.048644599999533966,10000,10000
binary,N=25000,ARES-MetaFusion,0.98584,0.9849511619858418,0.9817842306658146,0.9849511619858418,0.983347521370568,0.9858631930393557,0.9667302053579202,0,0.7032784000039101,0.028131136000156404,25000,25000
binary,N=50000,ARES-MetaFusion,0.98606,0.9828955157910237,0.9777531371110597,0.9828955157910237,0.9802935864432103,0.9860973099557229,0.9606348891561765,0,0.9748695000307634,0.019497390000615268,50000,50000
binary,N=100000,ARES-MetaFusion,0.98709,0.9812442487623589,0.9760832373966596,0.9812442487623589,0.9786389690889566,0.9871247989158166,0.9573135743930664,0,1.6730057999957353,0.016730057999957353,100000,100000
binary,N=197270,ARES-MetaFusion,0.9881887768033659,0.9841268677123766,0.9808032283199688,0.9841268677123766,0.9824533231396698,0.9882091181768361,0.9649243719847586,0,3.1617366000427864,0.01602745779917264,197270,197270
