,precision,recall,f1-score,support
0,0.9850325379609545,1.0,0.9924598404545951,49951.0
1,0.3577794115010131,0.3994514624331845,0.3774687854710556,49951.0
2,0.33927785116688686,0.18510139937138395,0.23952437081460565,49951.0
3,0.36583830403374307,0.4902250247801421,0.418994916903998,47417.0
accuracy,0.5190601713387742,0.5190601713387742,0.5190601713387742,0.5190601713387742
macro avg,0.5119820261656494,0.5186944716461777,0.5071119784110636,197270.0
weighted avg,0.513859291800983,0.5190601713387742,0.5082438719268487,197270.0
