,precision,recall,f1-score,support
0,0.8774660263123052,0.939256701475903,0.9073105465407533,155227.0
1,0.6969336590383132,0.5157338914920438,0.5927961178320006,42043.0
accuracy,0.8489937648907588,0.8489937648907588,0.8489937648907588,0.8489937648907588
macro avg,0.7871998426753092,0.7274952964839734,0.7500533321863769,197270.0
weighted avg,0.83899021996922,0.8489937648907588,0.8402799279662002,197270.0
