,precision,recall,f1-score,support
0,0.9999799807815503,1.0,0.9999899902905819,49951.0
1,0.9418750713714743,0.6604872775319813,0.7764741877405006,49951.0
2,0.6424810641049326,0.5569858461292067,0.5966865047450539,49951.0
3,0.6411010929753863,0.9327245502667819,0.7598945044371709,47417.0
accuracy,0.7856845947178993,0.7856845947178993,0.7856845947178993,0.7856845947178993
macro avg,0.8063593023083359,0.7875494184819924,0.7832612968033268,197270.0
weighted avg,0.8084821000092011,0.7856845947178993,0.7835614511697071,197270.0
